Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,DayOfWeek,Holiday,Sales_3week_MA,Sales_12week_MA,Temp_Bin,Season,zscore_sales,is_outlier
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,4,No Holiday,1643690.9,1643690.9,Mild,Winter,0.568899091832911,0
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,4,Holiday,1642824.17,1642824.17,Cold,Winter,0.5577467360070818,0
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,4,No Holiday,1632538.8366666667,1632538.8366666667,Cold,Winter,0.36480832958474085,0
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,4,No Holiday,1554551.0666666667,1576836.025,Mild,Winter,-0.9363228823163796,0
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,4,No Holiday,1525500.8133333332,1572430.156,Mild,Spring,-0.0029447630822888268,0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,4,No Holiday,1468025.2866666669,1550282.0616666665,Mild,Spring,-0.7445120896870269,0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,4,No Holiday,1488954.6866666668,1539172.5942857142,Mild,Spring,-0.5323698934597915,0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,4,No Holiday,1438829.0999999999,1522329.76,Mild,Spring,-0.9704058729177338,0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,4,No Holiday,1490637.9966666668,1530400.7066666665,Warm,Spring,0.25543815532057673,0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,4,No Holiday,1514938.9100000001,1531902.489,Warm,Spring,-0.06334418928552357,0
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,4,No Holiday,1535481.6966666665,1525916.651818182,Warm,Spring,-0.5739148089864559,0
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,4,No Holiday,1467577.6433333333,1514694.9408333332,Warm,Spring,-1.0551605861377156,0
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,4,No Holiday,1427471.7033333331,1496479.0916666668,Warm,Spring,-0.8374186650900386,0
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,4,No Holiday,1473437.3166666667,1493312.2316666667,Warm,Spring,0.3132557210156592,0
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,4,No Holiday,1507769.11,1483502.5091666665,Warm,Spring,-0.3925314362429892,0
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,4,No Holiday,1499289.5633333335,1482663.7158333333,Warm,Spring,-1.0010802234791423,0
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,4,No Holiday,1441994.5066666666,1472435.655,Hot,Spring,-0.7925814930089965,0
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,No Holiday,1482418.9100000001,1487100.915,Hot,Summer,0.38768961879175784,0
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,4,No Holiday,1530051.9166666667,1492938.0233333334,Hot,Summer,-0.08172776181154515,0
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,4,No Holiday,1553789.9533333334,1501175.8683333334,Hot,Summer,-0.33441972721125246,0
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,4,No Holiday,1489518.9166666667,1486821.1450000003,Hot,Summer,-0.8527891984897397,0
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,4,No Holiday,1472804.6000000003,1482404.4458333335,Hot,Summer,-0.4043265068398554,0
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,4,No Holiday,1487067.9733333334,1489072.4375,Hot,Summer,-0.05912601171165165,0
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,4,No Holiday,1495810.4133333333,1493879.3375000001,Hot,Summer,-0.6840536032075352,0
